county,year,dayswaqi,maqi
Miami-Dade,1989,365,166
Cass,2010,27,38
McKenzie,2018,355,92
Rutland,1992,362,120
Buchanan,2015,364,99
Anoka,2018,365,115
Duchesne,2014,365,119
Passaic,2014,283,97
Washington,2011,348,147
Broward,1990,365,151
Pearl River,2001,121,87
Washington,2000,366,200
Twin Falls,2001,129,83
Schoolcraft,2005,365,182
Shawnee,2014,365,105
Marshall,1999,230,200
Muscogee,2003,315,175
Archuleta,2005,214,64
Chaffee,2018,164,161
Tazewell,1985,351,199
Carter,2015,265,74
Tuolumne,1980,356,208
Pitt,2009,269,90
Ellis,2009,105,58
Greenwood,2006,117,94
Smith,1991,58,46
Muskogee,1998,365,151
Wise,1999,54,36
Chautauqua,2015,364,126
Cherokee,2011,292,143
Claiborne,1990,346,182
Davidson,1988,366,219
Missaukee,2003,352,174
Kay,2010,365,93
Douglas,1996,248,156
Dallas,1985,365,234
Pima,1993,365,156
Ramsey,1980,366,170
Talladega,2011,110,94
Ravalli,2013,346,124
White Pine,1999,346,122
Lauderdale,1997,192,143
Knox,2002,358,174
Guayanilla,2017,47,78
Lehigh,2002,365,203
Merced,2019,365,119
Rockingham,2003,213,154
Saint Louis,2007,365,195
Gallatin,1985,6,55
Carson City,1994,60,51
Harney,2016,357,115
Dubuque,1981,307,200
Brooke,2000,366,200
Sullivan,1989,61,113
Mecklenburg,2013,365,101
Hampden,2001,365,200
Tompkins,2002,361,192
Lee,2014,121,97
Charles,2000,355,140
Riley,2004,364,100
Greene,1987,53,57
Clinton,2006,181,126
Clark,1998,220,228
Madison,1993,364,174
Lincoln,2003,211,174
Middlesex,1990,362,212
Charleston,1996,366,177
DeKalb,2015,365,150
Hidalgo,2001,365,150
Talladega,2015,107,81
Carson City,1984,314,182
Vanderburgh,1982,353,200
Daviess,1987,365,201
Lafourche,1998,352,204
Huntington,2004,174,115
Stearns,2000,325,113
Bowie,2013,57,94
Hamilton,2002,287,207
Oconee,2005,362,156
Nassau,2008,366,108
Utah,1981,365,246
Brown,2010,365,127
Sonoma,2012,366,80
Forrest,2016,336,70
Benton,2010,364,68
Deer Lodge,1980,354,254
Meigs,2014,364,105
Ashtabula,1993,356,174
Kootenai,2015,324,166
Lackawanna,2008,366,185
Clinton,2016,181,122
Pitkin,1998,363,57
Clallam,2001,363,83
Dallas,2006,365,177
Multnomah,1987,365,126
Pike,2015,355,161
LaPorte,1996,366,213
Box Elder,2000,43,101
San Benito,2013,365,112
Orange,2000,239,177
Clear Creek,2012,104,179
Oakland,2014,239,112
Lafayette,1996,355,154
Black Hawk,1992,42,68
Coweta,2010,365,100
Collier,2015,363,74
Roanoke City,1997,365,80
Dubois,1990,47,65
Cass,2000,168,166
Delaware,2015,214,108
Kings,1993,235,169
Dodge,2003,365,150
Bonner,1998,120,86
Fresno,1991,365,226
Dubuque,1992,335,156
Scott,1991,365,156
Richmond,1991,334,241
Beaver,1999,365,216
Alameda,2001,365,178
Bristol,2012,366,161
Stewart,1981,349,182
Johnson,1990,323,154
Hidalgo,1986,262,200
Platte,2008,59,68
Cass,2010,27,38
Delta,1991,177,92
Oxford,1990,364,198
Berks,2010,365,154
Washington,2002,362,197
Sangamon,2011,365,154
Siskiyou,2015,362,139
Hall,2003,109,120
Adams,2017,244,115
Whatcom,1983,289,200
Otoe,1994,60,54
Walla Walla,1990,63,85
Bucks,2018,333,164
Berkeley,2012,205,80
Erie,1987,365,217
Catron,2017,114,129
Jackson,1996,366,166
Cotton,2011,263,154
Queens,2018,365,140
Bannock,2018,365,174
Eagle,1988,173,49
Marquette,1992,61,49
Summit,2010,365,140
Lawrence,2010,365,156
Converse,1997,62,52
Missoula,2010,365,181
Cape May,1980,233,219
Rock Island,1988,366,172
Frederick,2001,208,156
Leon,2008,366,129
York,1985,364,195
Seneca,2000,181,77
Will,1980,361,190
Placer,1980,366,218
Carbon,1995,246,200
Franklin,2004,197,119
Lee,2001,365,115
Henry,1995,55,210
Tazewell,1982,305,193
Bossier,2018,365,96
Etowah,1995,60,59
Nassau,1983,365,200
Lafayette,2012,366,129
Stanislaus,2011,365,169
Albany,1988,362,210
Huron,2014,167,115
Oneida,1992,148,143
Panola,1999,85,77
Etowah,2018,324,153
Tazewell,1996,366,200
Mobile,2014,285,115
Clinton,2011,245,159
Silver Bow,2007,360,167
Henrico,1991,229,192
Bannock,1990,364,200
Stearns,2011,355,101
Walker,2019,356,82
Polk,2004,365,122
Sandoval,1984,302,126
Blount,1986,364,200
Clearfield,2012,342,164
Williamson,1982,339,133
Will,2010,365,115
Missoula,1998,331,86
Cerro Gordo,1985,26,54
Union,2010,221,115
Dauphin,1980,360,195
San Joaquin,1994,365,190
Orange,2010,365,136
Aiken,1982,2,0
Citrus,2017,352,95
Whitley,2005,58,73
Shawnee,1995,39,65
Belmont,1991,365,163
Wabash,2000,364,199
Madison,1998,56,75
Apache,1992,77,58
St Croix,1986,359,191
San Luis Obispo,2015,365,126
York,1998,360,207
Missaukee,2006,237,150
Manitowoc,1995,184,232
Deschutes,2000,356,111
Carroll,2000,214,108
Middlesex,2019,205,154
Clay,1998,365,204
Winnebago,2008,366,128
Bennington,1995,262,150
Warren,2003,212,213
Flathead,2017,365,250
Monroe,1990,40,61
Livingston,1999,335,177
Jackson,1995,355,193
Anderson,2004,216,140
